  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     0.020000     0.944375
  1   0.0100     0.020000     0.944375     0.029444     0.891184
  2   0.0200     0.029444     0.891184     0.038356     0.840329
  3   0.0300     0.038356     0.840329     0.046759     0.791713
  4   0.0400     0.046759     0.791713     0.054676     0.745246
  5   0.0500     0.054676     0.745246     0.062128     0.700839
  6   0.0600     0.062128     0.700839     0.069137     0.658409
  7   0.0700     0.069137     0.658409     0.075721     0.617874
  8   0.0800     0.075721     0.617874     0.081900     0.579156
  9   0.0900     0.081900     0.579156     0.087691     0.542181
 10   0.1000     0.087691     0.542181     0.093113     0.506877
 11   0.1100     0.093113     0.506877     0.098182     0.473175
 12   0.1200     0.098182     0.473175     0.102914     0.441009
 13   0.1300     0.102914     0.441009     0.107324     0.410316
 14   0.1400     0.107324     0.410316     0.111427     0.381035
 15   0.1500     0.111427     0.381035     0.115237     0.353107
 16   0.1600     0.115237     0.353107     0.118768     0.326476
 17   0.1700     0.118768     0.326476     0.122033     0.301089
 18   0.1800     0.122033     0.301089     0.125044     0.276893
 19   0.1900     0.125044     0.276893     0.127813     0.253838
 20   0.2000     0.127813     0.253838     0.130351     0.231879
 21   0.2100     0.130351     0.231879     0.132670     0.210967
 22   0.2200     0.132670     0.210967     0.134780     0.191060
 23   0.2300     0.134780     0.191060     0.136690     0.172116
 24   0.2400     0.136690     0.172116     0.138411     0.154094
 25   0.2500     0.138411     0.154094     0.139952     0.136955
 26   0.2600     0.139952     0.136955     0.141322     0.120662
 27   0.2700     0.141322     0.120662     0.142529     0.105178
 28   0.2800     0.142529     0.105178     0.143580     0.090471
 29   0.2900     0.143580     0.090471     0.144485     0.076507
 30   0.3000     0.144485     0.076507     0.145250     0.063253
 31   0.3100     0.145250     0.063253     0.145883     0.050681
 32   0.3200     0.145883     0.050681     0.146389     0.038760
 33   0.3300     0.146389     0.038760     0.146777     0.027463
 34   0.3400     0.146777     0.027463     0.147052     0.016764
 35   0.3500     0.147052     0.016764     0.147219     0.006635
 36   0.3600     0.147219     0.006635     0.147286    -0.002947
 37   0.3700     0.147286    -0.002947     0.147256    -0.012006
 38   0.3800     0.147256    -0.012006     0.147136    -0.020565
 39   0.3900     0.147136    -0.020565     0.146930    -0.028646
 40   0.4000     0.146930    -0.028646     0.146644    -0.036270
 41   0.4100     0.146644    -0.036270     0.146281    -0.043456
 42   0.4200     0.146281    -0.043456     0.145847    -0.050224
 43   0.4300     0.145847    -0.050224     0.145345    -0.056593
 44   0.4400     0.145345    -0.056593     0.144779    -0.062580
 45   0.4500     0.144779    -0.062580     0.144153    -0.068201
 46   0.4600     0.144153    -0.068201     0.143471    -0.073475
 47   0.4700     0.143471    -0.073475     0.142736    -0.078415
 48   0.4800     0.142736    -0.078415     0.141952    -0.083038
 49   0.4900     0.141952    -0.083038     0.141122    -0.087357
 50   0.5000     0.141122    -0.087357     0.140248    -0.091387
 51   0.5100     0.140248    -0.091387     0.139334    -0.095140
 52   0.5200     0.139334    -0.095140     0.138383    -0.098629
 53   0.5300     0.138383    -0.098629     0.137396    -0.101867
 54   0.5400     0.137396    -0.101867     0.136378    -0.104864
 55   0.5500     0.136378    -0.104864     0.135329    -0.107633
 56   0.5600     0.135329    -0.107633     0.134253    -0.110184
 57   0.5700     0.134253    -0.110184     0.133151    -0.112526
 58   0.5800     0.133151    -0.112526     0.132026    -0.114671
 59   0.5900     0.132026    -0.114671     0.130879    -0.116627
 60   0.6000     0.130879    -0.116627     0.129713    -0.118404
 61   0.6100     0.129713    -0.118404     0.128529    -0.120010
 62   0.6200     0.128529    -0.120010     0.127329    -0.121453
 63   0.6300     0.127329    -0.121453     0.126114    -0.122741
 64   0.6400     0.126114    -0.122741     0.124887    -0.123883
 65   0.6500     0.124887    -0.123883     0.123648    -0.124884
 66   0.6600     0.123648    -0.124884     0.122399    -0.125753
 67   0.6700     0.122399    -0.125753     0.121141    -0.126496
 68   0.6800     0.121141    -0.126496     0.119876    -0.127119
 69   0.6900     0.119876    -0.127119     0.118605    -0.127628
 70   0.7000     0.118605    -0.127628     0.117329    -0.128030
 71   0.7100     0.117329    -0.128030     0.116049    -0.128329
 72   0.7200     0.116049    -0.128329     0.114765    -0.128532
 73   0.7300     0.114765    -0.128532     0.113480    -0.128643
 74   0.7400     0.113480    -0.128643     0.112194    -0.128668
 75   0.7500     0.112194    -0.128668     0.110907    -0.128610
 76   0.7600     0.110907    -0.128610     0.109621    -0.128475
 77   0.7700     0.109621    -0.128475     0.108336    -0.128267
 78   0.7800     0.108336    -0.128267     0.107053    -0.127989
 79   0.7900     0.107053    -0.127989     0.105774    -0.127647
 80   0.8000     0.105774    -0.127647     0.104497    -0.127243
 81   0.8100     0.104497    -0.127243     0.103225    -0.126782
 82   0.8200     0.103225    -0.126782     0.101957    -0.126266
 83   0.8300     0.101957    -0.126266     0.100694    -0.125699
 84   0.8400     0.100694    -0.125699     0.099437    -0.125084
 85   0.8500     0.099437    -0.125084     0.098186    -0.124424
 86   0.8600     0.098186    -0.124424     0.096942    -0.123722
 87   0.8700     0.096942    -0.123722     0.095705    -0.122981
 88   0.8800     0.095705    -0.122981     0.094475    -0.122203
 89   0.8900     0.094475    -0.122203     0.093253    -0.121390
 90   0.9000     0.093253    -0.121390     0.092039    -0.120546
 91   0.9100     0.092039    -0.120546     0.090834    -0.119673
 92   0.9200     0.090834    -0.119673     0.089637    -0.118771
 93   0.9300     0.089637    -0.118771     0.088449    -0.117845
 94   0.9400     0.088449    -0.117845     0.087271    -0.116895
 95   0.9500     0.087271    -0.116895     0.086102    -0.115923
 96   0.9600     0.086102    -0.115923     0.084943    -0.114932
 97   0.9700     0.084943    -0.114932     0.083793    -0.113923
 98   0.9800     0.083793    -0.113923     0.082654    -0.112897
 99   0.9900     0.082654    -0.112897     0.081525    -0.111857
