  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     1.060000    -0.050524
  1   1.0500     1.060000    -0.050524     1.006950     1.197443
  2   2.1000     1.006950     1.197443     2.264265     0.959308
  3   3.1500     2.264265     0.959308     3.271538    12.022244
  4   4.2000     3.271538    12.022244    15.894895    35.993029
  5   5.2500    15.894895    35.993029    53.687575  4213.964373
  6   6.3000    53.687575  4213.964373  4478.350167 162270.504211
  7   7.3500  4478.350167 162270.504211 174862.379588 94306886300.935944
  8   8.4000 174862.379588 94306886300.935944 99022405478.362335 5614073403114052.000000
  9   9.4500 99022405478.362335 5614073403114052.000000 5894876095675233.000000 1019505834256515130345998455406592.000000
 10  10.5000 5894876095675233.000000 1019505834256515130345998455406592.000000 1070481125969340987743930031276032.000000 215086594001622402037837031912910975157556740096.000000
 11  11.5500 1070481125969340987743930031276032.000000 215086594001622402037837031912910975157556740096.000000 225840923701704570740305392299917441988326064128.000000 1288031079862930496524146091171892347689246561203521647535318989133283814712838752682759360312508416.000000
 12  12.6000 225840923701704570740305392299917441988326064128.000000 1288031079862930496524146091171892347689246561203521647535318989133283814712838752682759360312508416.000000 1352432633856076984925311666498066885333798136322718230366956706362331981976998007712441980730474496.000000 12094759120407060182346327195945579615160481535099004334163174439064848008816020736915948386013394039830311636333703732994449174342851358621696.000000
 13  13.6500 1352432633856076984925311666498066885333798136322718230366956706362331981976998007712441980730474496.000000 12094759120407060182346327195945579615160481535099004334163174439064848008816020736915948386013394039830311636333703732994449174342851358621696.000000 12699497076427413733000693188714510857327525952299990378300449445357265247241114862554969986100318241816828410365150266790892523959129049399296.000000 2597384377054951965942527111536427576039448863205505840263658828486018345805527144312350966620816440153375901961639871962465784775027323663735219136092446516829090304665753152113216559161101691998291734910118505853200926799599030327010566629295504393533241634724131295266987885896238657146225426432.000000
