  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     0.110000     0.443700
  1   0.1000     0.110000     0.443700     0.154370     0.064365
  2   0.2000     0.154370     0.064365     0.160807    -0.251450
  3   0.3000     0.160807    -0.251450     0.135662    -0.421569
  4   0.4000     0.135662    -0.421569     0.093505    -0.399331
  5   0.5000     0.093505    -0.399331     0.053572    -0.279015
  6   0.6000     0.053572    -0.279015     0.025670    -0.166726
  7   0.7000     0.025670    -0.166726     0.008997    -0.091916
  8   0.8000     0.008997    -0.091916    -0.000194    -0.047022
  9   0.9000    -0.000194    -0.047022    -0.004896    -0.021039
