  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     0.260000    -0.390600
  1   0.2500     0.260000    -0.390600     0.162350     0.179625
  2   0.5000     0.162350     0.179625     0.207256    -0.214053
  3   0.7500     0.207256    -0.214053     0.153743    -0.021000
  4   1.0000     0.153743    -0.021000     0.148493    -0.141498
  5   1.2500     0.148493    -0.141498     0.113119    -0.097101
  6   1.5000     0.113119    -0.097101     0.088843    -0.104149
  7   1.7500     0.088843    -0.104149     0.062806    -0.082231
  8   2.0000     0.062806    -0.082231     0.042248    -0.061104
  9   2.2500     0.042248    -0.061104     0.026972    -0.041214
 10   2.5000     0.026972    -0.041214     0.016669    -0.026199
 11   2.7500     0.016669    -0.026199     0.010119    -0.016105
 12   3.0000     0.010119    -0.016105     0.006093    -0.009746
 13   3.2500     0.006093    -0.009746     0.003657    -0.005860
 14   3.5000     0.003657    -0.005860     0.002192    -0.003515
 15   3.7500     0.002192    -0.003515     0.001313    -0.002106
 16   4.0000     0.001313    -0.002106     0.000786    -0.001262
 17   4.2500     0.000786    -0.001262     0.000471    -0.000756
 18   4.5000     0.000471    -0.000756     0.000282    -0.000453
 19   4.7500     0.000282    -0.000453     0.000169    -0.000271
