  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     1.060000    -0.050526
  1   1.0500     1.060000    -0.050526     1.006948    -0.678407
  2   2.1000     1.006948    -0.678407     0.294621    -0.554964
  3   3.1500     0.294621    -0.554964    -0.288092    -0.001145
  4   4.2000    -0.288092    -0.001145    -0.289294     0.027735
  5   5.2500    -0.289294     0.027735    -0.260172     0.026512
  6   6.3000    -0.260172     0.026512    -0.232335     0.021579
  7   7.3500    -0.232335     0.021579    -0.209676     0.017703
  8   8.4000    -0.209676     0.017703    -0.191088     0.014962
  9   9.4500    -0.191088     0.014962    -0.175378     0.012947
 10  10.5000    -0.175378     0.012947    -0.161783     0.011392
 11  11.5500    -0.161783     0.011392    -0.149822     0.010147
 12  12.6000    -0.149822     0.010147    -0.139167     0.009124
 13  13.6500    -0.139167     0.009124    -0.129587     0.008265
