  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     0.110000     0.443750
  1   0.1000     0.110000     0.443750     0.154375     0.130871
  2   0.2000     0.154375     0.130871     0.167462    -0.037776
  3   0.3000     0.167462    -0.037776     0.163684    -0.121898
  4   0.4000     0.163684    -0.121898     0.151495    -0.157376
  5   0.5000     0.151495    -0.157376     0.135757    -0.165677
  6   0.6000     0.135757    -0.165677     0.119189    -0.159528
  7   0.7000     0.119189    -0.159528     0.103237    -0.146366
  8   0.8000     0.103237    -0.146366     0.088600    -0.130442
  9   0.9000     0.088600    -0.130442     0.075556    -0.114109
