  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     0.260000    -0.390650
  1   0.2500     0.260000    -0.390650     0.162338    -0.699156
  2   0.5000     0.162338    -0.699156    -0.012452    -0.098423
  3   0.7500    -0.012452    -0.098423    -0.037057     0.056412
  4   1.0000    -0.037057     0.056412    -0.022954     0.038019
  5   1.2500    -0.022954     0.038019    -0.013449     0.021911
  6   1.5000    -0.013449     0.021911    -0.007972     0.012859
  7   1.7500    -0.007972     0.012859    -0.004757     0.007646
  8   2.0000    -0.004757     0.007646    -0.002845     0.004568
  9   2.2500    -0.002845     0.004568    -0.001703     0.002733
 10   2.5000    -0.001703     0.002733    -0.001020     0.001637
 11   2.7500    -0.001020     0.001637    -0.000611     0.000980
 12   3.0000    -0.000611     0.000980    -0.000366     0.000587
 13   3.2500    -0.000366     0.000587    -0.000219     0.000352
 14   3.5000    -0.000219     0.000352    -0.000131     0.000211
 15   3.7500    -0.000131     0.000211    -0.000079     0.000126
 16   4.0000    -0.000079     0.000126    -0.000047     0.000076
 17   4.2500    -0.000047     0.000076    -0.000028     0.000045
 18   4.5000    -0.000028     0.000045    -0.000017     0.000027
 19   4.7500    -0.000017     0.000027    -0.000010     0.000016
