  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     1.060000    -4.840604
  1   1.0500     1.060000    -4.840604    -4.022634    41.168970
  2   2.1000    -4.022634    41.168970    39.204784 -1537.127914
  3   3.1500    39.204784 -1537.127914 -1574.779525 1272507.779134
  4   4.2000 -1574.779525 1272507.779134 1334558.388565 -82018286900.560516
  5   5.2500 1334558.388565 -82018286900.560516 -86117866687.199982 49915110457852100608.000000
  6   6.3000 -86117866687.199982 49915110457852100608.000000 52410865894626836480.000000 -13412171051422701341782479153922048.000000
  7   7.3500 52410865894626836480.000000 -13412171051422701341782479153922048.000000 -14082779603993784066235293960765440.000000 3023314307538246828581140075200093658499752924151047589462016.000000
  8   8.4000 -14082779603993784066235293960765440.000000 3023314307538246828581140075200093658499752924151047589462016.000000 3174480022915159419778543302503077526624785224020248835915776.000000 -58652218334465162745451832293243779381371213210096739150145773905650865064655199919559067553288110997504.000000
  9   9.4500 3174480022915159419778543302503077526624785224020248835915776.000000 -58652218334465162745451832293243779381371213210096739150145773905650865064655199919559067553288110997504.000000 -61584829251188427248461849953174987939332550149908329393491792806984191555826864147978582691379723370496.000000 671795499231985909785482960046243390268507991106907611837257630550365705946557448767580230839950784278589643658110616960680194349600049224442125955980764536223820232503275399541686272.000000
