  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     0.060000     0.721875
  1   0.0500     0.060000     0.721875     0.096094     0.504604
  2   0.1000     0.096094     0.504604     0.121324     0.335786
  3   0.1500     0.121324     0.335786     0.138113     0.205487
  4   0.2000     0.138113     0.205487     0.148388     0.105752
  5   0.2500     0.148388     0.105752     0.153675     0.030217
  6   0.3000     0.153675     0.030217     0.155186    -0.026207
  7   0.3500     0.155186    -0.026207     0.153876    -0.067589
  8   0.4000     0.153876    -0.067589     0.150496    -0.097179
  9   0.4500     0.150496    -0.097179     0.145637    -0.117570
 10   0.5000     0.145637    -0.117570     0.139759    -0.130827
 11   0.5500     0.139759    -0.130827     0.133217    -0.138593
 12   0.6000     0.133217    -0.138593     0.126288    -0.142169
 13   0.6500     0.126288    -0.142169     0.119179    -0.142588
 14   0.7000     0.119179    -0.142588     0.112050    -0.140662
 15   0.7500     0.112050    -0.140662     0.105017    -0.137031
 16   0.8000     0.105017    -0.137031     0.098165    -0.132194
 17   0.8500     0.098165    -0.132194     0.091556    -0.126541
 18   0.9000     0.091556    -0.126541     0.085229    -0.120373
 19   0.9500     0.085229    -0.120373     0.079210    -0.113919
