  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     1.060000    -0.050520
  1   1.0500     1.060000    -0.050520     1.006954     6.199710
  2   2.1000     1.006954     6.199710     7.516650     4.997442
  3   3.1500     7.516650     4.997442    12.763964  2228.982661
  4   4.2000    12.763964  2228.982661  2353.195759 10805.201092
  5   5.2500  2353.195759 10805.201092 13698.656905 68412186355.076569
  6   6.3000 13698.656905 68412186355.076569 71832809371.487305 13492212683922.380859
  7   7.3500 71832809371.487305 13492212683922.380859 14238656127489.988281 1945932893396586994639414025519104.000000
  8   8.4000 14238656127489.988281 1945932893396586994639414025519104.000000 2043229538066416546132648032993280.000000 15155361694672787567898044723547265302528.000000
  9   9.4500 2043229538066416546132648032993280.000000 15155361694672787567898044723547265302528.000000 15913131822635963460184933820190680940544.000000 44782752008515916192923103250942684997287700788070481789052198943407939413619295708500015265896988672.000000
 10  10.5000 15913131822635963460184933820190680940544.000000 44782752008515916192923103250942684997287700788070481789052198943407939413619295708500015265896988672.000000 47021889608941712779636815303781447614936848556881568535467544511434144885025224389486730111275237376.000000 21155645679638578758894289607158547411586791029333191701006825966837778288288925806109375202824106325702977784057404850176.000000
 11  11.5500 47021889608941712779636815303781447614936848556881568535467544511434144885025224389486730111275237376.000000 21155645679638578758894289607158547411586791029333191701006825966837778288288925806109375202824106325702977784057404850176.000000 22213427963620507238139280889502172460001951520382463126744169431523442455185604219030268745268350027984416051235137781760.000000 545832682551436223294146788625640553418469844218332508538475314990841454540770023292150341386967534674489877916043398415185861733690969889119671206668298645154830065996438711210611304021910431193572874401213868922968259775133599179826155801612110613392526786696844402910579740189664745589917654479536128.000000
