  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     0.510000    -1.781200
  1   0.5000     0.510000    -1.781200    -0.380600     8.155900
  2   1.0000    -0.380600     8.155900     3.697350   -15.840067
  3   1.5000     3.697350   -15.840067    -4.222683  2543.378019
  4   2.0000    -4.222683  2543.378019  1267.466326 -8202.460307
  5   2.5000  1267.466326 -8202.460307 -2833.763827 101807398161.493683
  6   3.0000 -2833.763827 101807398161.493683 50903696246.983017 -1315949921213.880371
  7   3.5000 50903696246.983017 -1315949921213.880371 -607071264359.957153 6595047995360650970694090202546176.000000
  8   4.0000 -607071264359.957153 6595047995360650970694090202546176.000000 3297523997680325485347045101273088.000000 -11197907538741604954408326198512844800.000000
  9   4.5000 3297523997680325485347045101273088.000000 -11197907538741604954408326198512844800.000000 -5595656245373122091190437062295683072.000000 1792808484092650151166629736274678167610752047187662183975976082542372178657215028606335369649196105728.000000
