  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     1.060000    -4.840636
  1   1.0500     1.060000    -4.840636    -4.022667     3.652117
  2   2.1000    -4.022667     3.652117    -0.187945   692.449066
  3   3.1500    -0.187945   692.449066   726.883574 -3305.141194
  4   4.2000   726.883574 -3305.141194 -2743.514679 -4032577088.925073
  5   5.2500 -2743.514679 -4032577088.925073 -4234208686.886006 236081476593.737183
  6   6.3000 -4234208686.886006 236081476593.737183 243651341736.538025 797087641285334844361530146816.000000
  7   7.3500 243651341736.538025 797087641285334844361530146816.000000 836942023349601642874601996288.000000 -151882103849718708306167413201698816.000000
  8   8.4000 836942023349601642874601996288.000000 -151882103849718708306167413201698816.000000 -159475372100181293245346451615121408.000000 -6155671320834320701039431346840967014307628521230042628215207662154576968899194866806816768.000000
  9   9.4500 -159475372100181293245346451615121408.000000 -6155671320834320701039431346840967014307628521230042628215207662154576968899194866806816768.000000 -6463454886876037007479112064142848389017506061403828790727494605357377784822867128693555200.000000 42586325726975434563720169275919820255125781961137150943946199131820343590860386612808077507502794453549056.000000
 10  10.5000 -6463454886876037007479112064142848389017506061403828790727494605357377784822867128693555200.000000 42586325726975434563720169275919820255125781961137150943946199131820343590860386612808077507502794453549056.000000 44715642013324202625241420337640855984679831922313318598500400489726109625350597105562141808871863046111232.000000 2835198462989572253183875510987681195957847617824806165802178665083748623578669052041675858871579784867986365110887881008164876623682180913070292494669614667124589741939568773825706153949026244241817320376442073227170224271595272244991925701000808151481513257426587488354304.000000
