  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     0.060000     0.949972
  1   0.0500     0.060000     0.949972     0.107499     0.901784
  2   0.1000     0.107499     0.901784     0.152588     0.853320
  3   0.1500     0.152588     0.853320     0.195254     0.801391
  4   0.2000     0.195254     0.801391     0.235323     0.742224
  5   0.2500     0.235323     0.742224     0.272435     0.671945
  6   0.3000     0.272435     0.671945     0.306032     0.587116
  7   0.3500     0.306032     0.587116     0.335388     0.485342
  8   0.4000     0.335388     0.485342     0.359655     0.365921
  9   0.4500     0.359655     0.365921     0.377951     0.230421
 10   0.5000     0.377951     0.230421     0.389472     0.082982
 11   0.5500     0.389472     0.082982     0.393621    -0.069836
 12   0.6000     0.393621    -0.069836     0.390129    -0.219795
 13   0.6500     0.390129    -0.219795     0.379139    -0.358225
 14   0.7000     0.379139    -0.358225     0.361228    -0.477512
 15   0.7500     0.361228    -0.477512     0.337353    -0.572377
 16   0.8000     0.337353    -0.572377     0.308734    -0.640584
 17   0.8500     0.308734    -0.640584     0.276704    -0.682895
 18   0.9000     0.276704    -0.682895     0.242560    -0.702407
 19   0.9500     0.242560    -0.702407     0.207439    -0.703571
