  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     1.060000    -0.050525
  1   1.0500     1.060000    -0.050525     1.006949     0.196990
  2   2.1000     1.006949     0.196990     1.213788     0.151694
  3   3.1500     1.213788     0.151694     1.373067     0.304224
  4   4.2000     1.373067     0.304224     1.692502     0.456321
  5   5.2500     1.692502     0.456321     2.171640     0.906466
  6   6.3000     2.171640     0.906466     3.123429     1.991379
  7   7.3500     3.123429     1.991379     5.214378     6.135485
  8   8.4000     5.214378     6.135485    11.656637    29.192754
  9   9.4500    11.656637    29.192754    42.309029   330.541271
 10  10.5000    42.309029   330.541271   389.377363 15885.694457
 11  11.5500   389.377363 15885.694457 17069.356542 12396607.533887
 12  12.6000 17069.356542 12396607.533887 13033507.267124 1044408713651.915649
 13  13.6500 13033507.267124 1044408713651.915649 1096642182841.778564 464946721794263810048.000000
