  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     0.110000     0.899945
  1   0.1000     0.110000     0.899945     0.199995     0.802746
  2   0.2000     0.199995     0.802746     0.280269     0.681474
  3   0.3000     0.280269     0.681474     0.348416     0.501849
  4   0.4000     0.348416     0.501849     0.398601     0.238443
  5   0.5000     0.398601     0.238443     0.422446    -0.104049
  6   0.6000     0.422446    -0.104049     0.412041    -0.472705
  7   0.7000     0.412041    -0.472705     0.364770    -0.777272
  8   0.8000     0.364770    -0.777272     0.287043    -0.944045
  9   0.9000     0.287043    -0.944045     0.192639    -0.969329
