  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     0.110000     0.443250
  1   0.1000     0.110000     0.443250     0.154325    -0.534787
  2   0.2000     0.154325    -0.534787     0.100846    -2.174825
  3   0.3000     0.100846    -2.174825    -0.116636    -1.554502
  4   0.4000    -0.116636    -1.554502    -0.272086     0.166733
  5   0.5000    -0.272086     0.166733    -0.255413    10.316508
  6   0.6000    -0.255413    10.316508     0.776238    13.133111
  7   0.7000     0.776238    13.133111     2.089549  -228.434315
  8   0.8000     2.089549  -228.434315   -20.753883 -4665.810319
  9   0.9000   -20.753883 -4665.810319  -487.334915 4467507.339306
