  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     0.060000     0.721850
  1   0.0500     0.060000     0.721850     0.096092     0.499191
  2   0.1000     0.096092     0.499191     0.121052     0.309702
  3   0.1500     0.121052     0.309702     0.136537     0.142359
  4   0.2000     0.136537     0.142359     0.143655    -0.003092
  5   0.2500     0.143655    -0.003092     0.143501    -0.121248
  6   0.3000     0.143501    -0.121248     0.137438    -0.206625
  7   0.3500     0.137438    -0.206625     0.127107    -0.257655
  8   0.4000     0.127107    -0.257655     0.114224    -0.277860
  9   0.4500     0.114224    -0.277860     0.100331    -0.274401
 10   0.5000     0.100331    -0.274401     0.086611    -0.255543
 11   0.5500     0.086611    -0.255543     0.073834    -0.228578
 12   0.6000     0.073834    -0.228578     0.062405    -0.198854
 13   0.6500     0.062405    -0.198854     0.052462    -0.169747
 14   0.7000     0.052462    -0.169747     0.043975    -0.143071
 15   0.7500     0.043975    -0.143071     0.036821    -0.119594
 16   0.8000     0.036821    -0.119594     0.030842    -0.099461
 17   0.8500     0.030842    -0.099461     0.025869    -0.082481
 18   0.9000     0.025869    -0.082481     0.021745    -0.068315
 19   0.9500     0.021745    -0.068315     0.018329    -0.056581
