  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     1.060000    -0.050525
  1   1.0500     1.060000    -0.050525     1.006949     0.071933
  2   2.1000     1.006949     0.071933     1.082478     0.050743
  3   3.1500     1.082478     0.050743     1.135758     0.073815
  4   4.2000     1.135758     0.073815     1.213264     0.090514
  5   5.2500     1.213264     0.090514     1.308304     0.119301
  6   6.3000     1.308304     0.119301     1.433570     0.160483
  7   7.3500     1.433570     0.160483     1.602077     0.226061
  8   8.4000     1.602077     0.226061     1.839441     0.336345
  9   9.4500     1.839441     0.336345     2.192604     0.540114
 10  10.5000     2.192604     0.540114     2.759724     0.964684
 11  11.5500     2.759724     0.964684     3.772642     2.013797
 12  12.6000     3.772642     2.013797     5.887129     5.339258
 13  13.6500     5.887129     5.339258    11.493350    20.847934
