  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     0.510000    -1.781300
  1   0.5000     0.510000    -1.781300    -0.380650    -5.109025
  2   1.0000    -0.380650    -5.109025    -2.935163    12.888028
  3   1.5000    -2.935163    12.888028     3.508852  1250.965836
  4   2.0000     3.508852  1250.965836   628.991769 -4360.211262
  5   2.5000   628.991769 -4360.211262 -1551.113861 -12442415338.690464
  6   3.0000 -1551.113861 -12442415338.690464 -6221209220.459093 208369678028.985291
  7   3.5000 -6221209220.459093 208369678028.985291 97963629794.033554 12039111185055614917399860477952.000000
  8   4.0000 97963629794.033554 12039111185055614917399860477952.000000 6019555592527807458699930238976.000000 -47028292968493735170265621614034944.000000
  9   4.5000 6019555592527807458699930238976.000000 -47028292968493735170265621614034944.000000 -23508126928654340623224940915589120.000000 -10905944752653020924433709783341412257259410492878076351746115424429544185272514376284325806080.000000
