  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     1.060000    -0.050525
  1   1.0500     1.060000    -0.050525     1.006949    -0.053124
  2   2.1000     1.006949    -0.053124     0.951169    -0.050209
  3   3.1500     0.951169    -0.050209     0.898450    -0.047426
  4   4.2000     0.898450    -0.047426     0.848653    -0.044797
  5   5.2500     0.848653    -0.044797     0.801615    -0.042314
  6   6.3000     0.801615    -0.042314     0.757185    -0.039969
  7   7.3500     0.757185    -0.039969     0.715218    -0.037754
  8   8.4000     0.715218    -0.037754     0.675576    -0.035661
  9   9.4500     0.675576    -0.035661     0.638132    -0.033685
 10  10.5000     0.638132    -0.033685     0.602763    -0.031818
 11  11.5500     0.602763    -0.031818     0.569354    -0.030054
 12  12.6000     0.569354    -0.030054     0.537798    -0.028388
 13  13.6500     0.537798    -0.028388     0.507990    -0.026815
