  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     1.060000    -0.050525
  1   1.0500     1.060000    -0.050525     1.006949    -0.115652
  2   2.1000     1.006949    -0.115652     0.885514    -0.100684
  3   3.1500     0.885514    -0.100684     0.779796    -0.077909
  4   4.2000     0.779796    -0.077909     0.697991    -0.061938
  5   5.2500     0.697991    -0.061938     0.632956    -0.051400
  6   6.3000     0.632956    -0.051400     0.578985    -0.043973
  7   7.3500     0.578985    -0.043973     0.532813    -0.038388
  8   8.4000     0.532813    -0.038388     0.492506    -0.033994
  9   9.4500     0.492506    -0.033994     0.456812    -0.030429
 10  10.5000     0.456812    -0.030429     0.424862    -0.027466
 11  11.5500     0.424862    -0.027466     0.396023    -0.024958
 12  12.6000     0.396023    -0.024958     0.369817    -0.022804
 13  13.6500     0.369817    -0.022804     0.345872    -0.020930
